Latitud,Longitud,Regional,Provincia,Ciudad,Tipo_CS,Nombre_agencia,Sector,Direccion,Telefono,Supervisor,Entrega_en_oficina,Hora_promedio_entrega,Horario_Lunes_Viernes,Horario_fin_semana,Email
-1.280759,-80.419385,SUR,MANABI,24 DE MAYO,CRESS,24 DE MAYO_PADRE LASSO,CENTRO,PADRE LASSO Y SUCRE FRENTE A OFICINA DE CNEL,0998995647,TANIA YESENIA GARCIA LUNA,SI,10H00,08H30 A 12H30 - 13H30 A 16H30,08H30 A 12H30,cspadrelasso.24demayo@gmail.com
-4.01799202,-80.01947021,SUR,LOJA,ALAMOR,CONCESION,ALAMOR_ALAMOR_CANONIGO,SUR,SIMON BOLIVAR Y CANONIGO AGUIRRE,09-92182721,SIERRA HIDALGO CRISTIAN PATRICIO,SI,12H30,09H00 A 12H00 - 13H00 A 17H00,09H00 A 14H00,csavcanonigo.alamor@gmail.com
-2.204542,-78.846715,NORTE,CHIMBORAZO,ALAUSI,DIRECTO,ALAUSI_PRINCIPAL,CENTRO,GARCIA MORENO S/N Y MEXICO,03-3732000 EXT 3300,CHRISTIAN EDUARDO BARONA RAMIREZ,SI,09H00,08H00 A 13H00 Y 15H00 A 17H00,NO LABORA,csprincipal.alausi@servientrega.com.ec
-0.468425,-78.5864752,NORTE,PICHINCHA,ALOAG,CONCESION,ALOAG_PRINCIPAL,CENTRO,FERNANDO CASTRO S/N Y BAHIA DE CARAQUEZ,0962783472,MARIA SOLEDAD OVIEDO CARGUACUNDO,SI,14H00,08H30 A 12H00- 12H30 A 18H00,09H00 A 13H00,csaloag.principal@hotmail.com
-1.240756,-78.630987,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_CASTILLO,CENTRO,CUENCA 15-06 Y CASTILLO,03-3732000 EXT 3305,TREJO BATIOJA ELIANA KATHERINE,SI,11H30,09H00 A 13H00 Y 14H00 A 18H00,09H00 A 13H00,cscastillo.ambato@servientrega.com.ec
-1.2409439,-78.6298661,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_DHL,CENTRO,MONTALVO 03 01 Y ROCAFUERTE,03-2423040,TREJO BATIOJA ELIANA KATHERINE,NO,-,08H00 A 17H00,09H00 A 12H00,veronica.armas@cislatam.com
-1.2374904,-78.6336984,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_FICOA,NORTE,AV DE LOS GUAYTAMBOS 476 Y MONTALVO,03-3732000 EXT 3302,TREJO BATIOJA ELIANA KATHERINE,NO,-,09H00 A 13H00 Y 14H00 A 18H00,NO LABORA,csficoa.ambato@servientrega.com.ec
-1.2339471,-78.6272249,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_GONZALEZ SUAREZ,CENTRO,HUMBERTO ALBORNOZ 02-130,3732000 EXT 3325,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,09H00 - 13H00,csgonzalezsuarez.ambato@servientrega.com.ec
-1.27477,-78.6300281,NORTE,TUNGURAHUA,AMBATO,CRESS,AMBATO_HUACHI CHICO,NORTE,JOSE PERALTA S/N Y JESUS CALLE,0995152584,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,09H00 A 13H00,cshuachichico.ambato@hotmail.com
-1.3079468,-78.6367428,NORTE,TUNGURAHUA,AMBATO,DIRECTO,AMBATO_HUACHI GRANDE,SUR,AV. ATAHUALPA S/N Y NEVADA,3732000 ext 3322,TREJO BATIOJA ELIANA KATHERINE,SI,11H00,09H00 A 13H00 - 14H00 A 18H00,NO LABORA,cshuachigrande.ambato@servientrega.com.ec
